Date,Open,High,Low,Close,Volume,Adj Close
1997-12-01,35.62,40.50,35.50,38.38,6793800,4.45
1997-11-03,33.12,36.00,31.25,34.88,7195700,4.04
1997-10-01,41.62,41.88,32.12,33.00,11894900,3.83
1997-09-02,41.12,44.75,39.75,41.81,7417100,4.85
1997-08-01,40.75,43.25,37.00,41.00,9056700,4.75
1997-07-01,39.00,41.62,34.12,40.94,11350900,4.75
1997-06-02,31.62,39.50,29.50,38.94,13443900,4.52
1997-05-01,29.88,34.00,27.88,31.50,10991200,3.65
1997-04-01,29.62,31.25,26.12,29.88,10096600,3.46
1997-03-03,33.62,33.88,29.38,29.62,9256500,3.44
1997-02-03,34.25,37.25,32.75,33.62,6737900,3.90
1997-01-02,28.62,35.88,27.38,34.25,9437500,3.97
1996-12-02,34.88,36.75,28.50,28.62,8335200,3.32
1996-11-01,32.62,36.62,31.75,34.62,8012600,4.02
1996-10-01,33.00,40.25,32.50,32.50,12282300,3.77
1996-09-03,32.25,35.88,31.75,33.00,8817400,3.83
1996-08-01,26.00,34.12,26.00,32.75,7568500,3.80
1996-07-01,28.12,29.88,23.00,26.00,8358000,3.02
1996-06-03,27.12,28.50,25.25,28.25,6477800,3.28
1996-05-01,27.38,29.62,25.00,27.12,6697700,3.15
1996-04-01,24.62,29.38,24.12,27.12,13395300,3.15
1996-03-01,18.12,23.62,17.88,23.31,12043100,2.70
1996-02-01,16.88,18.00,16.00,17.62,10405200,2.04
1996-01-02,21.00,21.00,14.50,16.75,16176300,1.94
1995-12-01,42.12,42.12,19.12,21.00,7844000,2.44
1995-11-01,39.38,45.12,38.88,42.25,11696900,2.45
1995-10-02,38.38,39.75,33.88,39.25,12462000,2.28
1995-09-01,40.00,44.25,36.00,37.88,20533600,2.20
1995-08-01,37.38,40.62,36.88,40.00,6880400,2.32
1995-07-03,35.75,42.25,34.88,37.38,14984000,2.17
1995-06-01,29.06,37.25,27.75,35.62,15396500,2.07
1995-05-01,23.62,31.50,23.50,29.06,13620400,1.69
1995-04-03,24.00,26.12,23.25,23.50,10324600,1.36
1995-03-01,24.00,25.69,22.25,24.00,10330000,1.39
1995-02-01,23.88,26.50,22.50,23.88,6867000,1.38
1995-01-03,27.25,27.38,23.50,24.00,6581100,1.39
1994-12-01,26.75,28.00,24.38,27.50,5509700,1.59
1994-11-01,26.75,29.25,25.75,26.81,8146000,1.55
1994-10-03,23.00,28.00,21.50,27.12,6409900,1.57
1994-09-01,28.00,29.75,22.25,23.06,11053700,1.34
1994-08-01,29.25,29.75,26.50,28.25,5132000,1.64
1994-07-01,25.25,30.75,23.50,29.00,8886700,1.68
1994-06-01,28.50,32.50,24.75,25.25,7613200,1.46
1994-05-02,29.50,30.25,24.50,28.50,6417900,1.65
1994-04-04,23.50,30.75,22.75,29.75,10521900,1.73
1994-03-01,22.75,25.50,21.00,24.38,7216200,1.41
1994-02-01,24.00,25.00,21.50,23.25,4464200,1.35
1994-01-03,22.00,24.50,19.00,24.00,9264700,1.39
1993-12-01,22.75,24.75,20.75,22.25,4024000,1.29
1993-11-01,26.25,27.25,20.50,22.25,4839500,1.29
1993-10-01,27.50,28.00,25.25,26.75,4525300,1.55
1993-09-01,48.25,54.00,26.75,27.38,7666500,1.59
1993-08-02,48.25,50.00,43.75,48.50,6875200,1.41
1993-07-01,48.75,54.00,47.50,47.50,6963800,1.38
1993-06-01,48.00,49.75,44.50,49.00,4777000,1.42
1993-05-03,39.50,48.75,39.00,48.00,8100100,1.39
1993-04-01,38.00,40.25,34.25,38.75,4350100,1.12
1993-03-31,37.25,38.25,37.00,38.00,4524800,1.10
